Pick,count,null_count,mean,std,min,25%,50%,75%,max
232,32,0,3.90625,4.31321581249551,0.0,0.75,2.0,7.0,16.0
233,36,0,4.944444444444445,6.196517198945339,0.0,1.0,3.0,5.75,25.0
234,35,0,2.857142857142857,3.3178914028859556,0.0,0.0,2.0,5.0,13.0
235,33,0,4.151515151515151,5.0874920891904845,0.0,0.0,1.0,8.0,19.0
236,32,0,3.4375,5.825070953465135,0.0,0.0,1.0,4.0,28.0
237,37,0,2.7837837837837838,4.738349074514451,0.0,0.0,1.0,2.0,19.0
238,30,0,3.1,4.915492749004645,0.0,0.0,2.0,3.0,24.0
239,33,0,4.696969696969697,7.161026674318636,0.0,0.0,2.0,6.0,27.0
240,25,0,5.32,6.296295206971584,0.0,0.0,2.0,10.0,18.0
241,31,0,3.161290322580645,4.803448581963785,0.0,0.0,1.0,3.0,19.0
242,28,0,5.0,5.367943257413851,0.0,1.0,3.5,6.25,19.0
243,34,0,5.264705882352941,5.440080344378903,0.0,1.0,3.5,8.0,19.0
244,35,0,5.9714285714285715,6.86202557252472,0.0,1.0,3.0,9.0,25.0
245,33,0,4.181818181818182,5.428251015834575,0.0,0.0,1.0,6.0,18.0
246,28,0,4.75,5.488202836117701,0.0,1.0,3.0,5.25,21.0
247,30,0,4.533333333333333,5.575397516882932,0.0,0.0,2.5,7.75,20.0
248,31,0,5.032258064516129,6.554814367916872,0.0,0.0,2.0,7.0,22.0
249,35,0,7.6571428571428575,9.308259637493553,0.0,1.0,4.0,12.0,35.0
250,32,0,5.1875,6.218793057883032,0.0,1.0,2.0,6.5,21.0
251,37,0,3.5945945945945947,5.002551901332511,0.0,0.0,2.0,5.0,20.0
252,27,0,6.333333333333333,8.458041235325206,0.0,2.0,3.0,8.0,39.0
253,29,0,4.689655172413793,5.87429903584773,0.0,0.0,2.0,6.0,22.0
254,22,0,3.1363636363636362,3.7833652762921024,0.0,0.0,1.5,5.5,13.0
255,23,0,5.913043478260869,8.862141355627015,0.0,0.0,2.0,5.5,33.0
256,18,0,2.8333333333333335,3.929526239966879,0.0,0.0,1.5,3.75,12.0
257,13,0,5.769230769230769,6.286942104524347,0.0,0.0,5.0,8.0,20.0
258,12,0,4.916666666666667,5.743903223629751,0.0,0.75,3.0,7.25,18.0
259,15,0,4.8,5.684565569529981,0.0,1.0,3.0,6.0,20.0
260,14,0,4.357142857142857,4.601122653258623,0.0,1.0,3.0,6.5,15.0
261,9,0,6.0,8.631338250816036,0.0,0.0,1.0,7.0,26.0
262,10,0,12.1,12.440525176481364,0.0,2.25,7.0,21.25,37.0
263,13,0,8.307692307692308,10.586033372519784,0.0,1.0,3.0,11.0,29.0
264,11,0,3.8181818181818183,5.723952861758766,0.0,0.0,1.0,5.0,16.0
265,11,0,7.636363636363637,8.823522281637047,0.0,1.0,3.0,12.5,24.0
266,8,0,1.75,2.5495097567963922,0.0,0.0,0.5,2.5,7.0
267,12,0,5.5,8.118441408859887,0.0,0.75,2.0,5.75,24.0
268,10,0,5.9,9.620002310002032,0.0,0.25,1.5,5.0,30.0
269,6,0,1.8333333333333333,1.7224014243685084,0.0,0.25,2.0,3.0,4.0
270,11,0,4.363636363636363,3.529099807960304,0.0,1.0,6.0,6.5,10.0
271,9,0,3.5555555555555554,3.358240279934981,0.0,1.0,3.0,7.0,8.0
272,11,0,8.545454545454545,6.787689391297105,0.0,3.5,7.0,12.0,21.0
273,6,0,5.5,4.324349662087931,0.0,2.25,6.0,8.25,11.0
274,9,0,7.111111111111111,6.936217348894937,0.0,1.0,5.0,12.0,17.0
275,9,0,6.333333333333333,8.381527307120106,0.0,0.0,2.0,12.0,21.0
276,7,0,12.0,8.925618559330589,1.0,5.0,11.0,19.0,24.0
277,10,0,5.3,6.515792780280505,0.0,0.75,4.0,6.5,22.0
278,8,0,5.75,7.796519369931321,0.0,1.0,2.0,7.75,23.0
279,6,0,4.833333333333333,4.070217029430577,0.0,3.0,4.0,5.75,12.0
280,10,0,7.2,10.881176406988354,0.0,0.25,2.0,6.75,31.0
281,10,0,4.4,8.474799243771042,0.0,0.0,0.5,4.25,27.0
282,7,0,4.571428571428571,5.68205194324324,0.0,1.0,2.0,6.5,15.0
283,11,0,5.454545454545454,5.989384548743491,0.0,1.5,4.0,7.0,19.0
284,8,0,3.25,4.832922806867792,0.0,1.0,2.0,2.25,15.0
285,6,0,7.666666666666667,6.282250127674531,0.0,3.5,6.5,12.5,16.0
286,7,0,4.857142857142857,5.984105932344765,0.0,1.0,2.0,6.5,17.0
287,10,0,2.3,3.433495141818157,0.0,0.0,1.0,3.0,11.0
288,11,0,8.0,8.988882021697691,0.0,0.0,8.0,12.5,28.0
289,8,0,9.375,10.78275739979608,0.0,1.75,6.0,12.25,31.0
290,7,0,8.571428571428571,7.3452284479368615,0.0,2.5,8.0,14.0,19.0
291,8,0,7.375,8.683934263092638,1.0,1.75,4.0,8.25,24.0
292,9,0,5.444444444444445,4.216370213557839,0.0,3.0,6.0,7.0,13.0
293,8,0,4.375,4.808846015417836,0.0,0.0,2.5,9.25,11.0
294,12,0,4.25,5.610461008444202,0.0,0.75,2.0,4.5,17.0
295,4,0,5.75,8.88350531415762,0.0,1.5,2.0,6.25,19.0
296,8,0,7.5,7.634508123364221,1.0,2.0,3.5,12.0,20.0
297,6,0,4.5,5.049752469181039,0.0,0.0,3.5,9.25,10.0
298,5,0,4.6,4.61519230368573,1.0,1.0,2.0,8.0,11.0
299,8,0,7.25,9.910312089651148,0.0,1.5,2.5,9.0,25.0
300,8,0,6.375,6.906260100186538,0.0,2.5,5.0,7.25,22.0
301,5,0,1.2,2.16794833886788,0.0,0.0,0.0,1.0,5.0
302,7,0,9.571428571428571,12.567910763224768,0.0,3.5,5.0,9.0,37.0
303,9,0,4.777777777777778,5.65194165260439,0.0,1.0,2.0,6.0,15.0
304,11,0,3.3636363636363638,6.407382106176082,0.0,0.0,0.0,2.5,20.0
305,13,0,10.307692307692308,8.625394825597024,0.0,4.0,11.0,17.0,25.0
306,9,0,3.0,6.837397165588671,0.0,0.0,0.0,2.0,21.0
307,10,0,5.2,8.753412033157254,0.0,0.25,1.0,6.75,28.0
308,4,0,4.0,8.0,0.0,0.0,0.0,4.0,16.0
309,9,0,5.777777777777778,7.6121248311128245,0.0,2.0,3.0,5.0,24.0
310,8,0,8.125,10.034761012173064,1.0,2.75,5.0,8.25,32.0
311,7,0,6.571428571428571,5.940177967511941,0.0,3.5,4.0,8.5,18.0
312,10,0,4.3,6.848357467305573,0.0,0.0,1.0,3.75,18.0
313,9,0,1.5555555555555556,1.9436506316151,0.0,0.0,1.0,2.0,6.0
314,11,0,5.363636363636363,5.679308536657033,0.0,1.5,3.0,7.5,18.0
315,11,0,5.2727272727272725,6.310164959664828,0.0,0.5,4.0,7.5,20.0
316,7,0,3.4285714285714284,7.390470053998435,0.0,0.0,0.0,2.0,20.0
317,7,0,4.0,6.506407098647711,0.0,0.0,1.0,4.5,18.0
318,6,0,6.666666666666667,8.2138095100061,1.0,1.5,3.0,8.25,22.0
319,9,0,3.111111111111111,5.035981643246043,0.0,0.0,2.0,3.0,16.0
320,10,0,5.8,8.941787044856053,0.0,0.0,0.5,11.25,25.0
321,8,0,4.0,6.094494002200442,0.0,0.75,1.5,4.0,18.0
322,9,0,4.555555555555555,3.166666666666667,0.0,3.0,4.0,6.0,10.0
323,5,0,1.2,1.7888543819998317,0.0,0.0,0.0,2.0,4.0
324,6,0,5.666666666666667,5.955389715767279,0.0,0.5,4.5,10.0,14.0
325,10,0,2.9,5.526702854726717,0.0,0.0,0.5,3.0,18.0
